short_name,full_name,taxonomic_name,functional_group,life_history
B_Lobo,Bleached_Lobophyllia,Lobophyllia,Hard_coral,Stress_Tolerant
Lobo,Lobophyllia,Lobophyllia,Hard_coral,Stress_Tolerant
B_Monta,Bleached_Montastraea,Montastraea,Hard_coral,Stress_Tolerant
Monta,Montastraea,Montastraea,Hard_coral,Stress_Tolerant
B_Pavona,Bleached_Pavona,Pavona,Hard_coral,Stress_Tolerant
Pavon,Pavona,Pavona,Hard_coral,Stress_Tolerant
B_PaveDUER,Bleached_Pavona_duerdeni,Pavona_duerdeni,Hard_coral,Stress_Tolerant
PaveDUER,Pavona_duerdeni,Pavona_duerdeni,Hard_coral,Stress_Tolerant
B_PVAR,Bleached_Pavona_varians,Pavona_varians,Hard_coral,Stress_Tolerant
PVAR,Pavona_varians,Pavona_varians,Hard_coral,Stress_Tolerant
B_Plat,Bleached_Platygyra,Platygyra,Hard_coral,Stress_Tolerant
Plat,Platygyra,Platygyra,Hard_coral,Stress_Tolerant
Plero,Plerogyra,Plerogyra,Hard_coral,Stress_Tolerant
B_Porit,Bleached_Porites,Porites,Hard_coral,Stress_Tolerant
Porit,Porites,Porites,Hard_coral,Stress_Tolerant
B_Psam,Bleached_Psammocora,Psammocora_profundacella,Hard_coral,Stress_Tolerant
Psam,Psammocora,Psammocora_profundacella,Hard_coral,Stress_Tolerant
Tuba,Tubastrea,Tubastrea,Hard_coral,Stress_Tolerant
B_UnkCoral,Bleached_unknown_hard_coral,Unknown_Hard_Coral,Hard_coral,Unknown_Hard_Coral
UnkCoral,Unknown_Hard_Coral,Unknown_Hard_Coral,Hard_coral,Unknown_Hard_Coral
B_Lepta,Bleached_Leptastrea,Leptastrea,Hard_coral,Weedy
Lepta,Leptastrea,Leptastrea,Hard_coral,Weedy
AVRA,Avrainvillea,Avrainvillea,Macroalgae,Not_Coral
Caul,Caulerpa,Caulerpa,Macroalgae,Not_Coral
DICTY,Dictyosphaeria,Dictyosphaeria,Macroalgae,Not_Coral
Dict,Dictyota,Dictyota,Macroalgae,Not_Coral
Hali,Halimeda,Halimeda,Macroalgae,Not_Coral
Lobph,Lobophora,Lobophora,Macroalgae,Not_Coral
Macro,Macroalgae,Macroalgae,Macroalgae,Not_Coral
Mdict,Microdictyon,Microdictyon,Macroalgae,Not_Coral
Pad,Padina,Padina,Macroalgae,Not_Coral
SHAD,Shadow,Shadow,Other,Not_Coral
Trans,Transect_hardware,Transect_hardware,Other,Not_Coral
Unc,Unclear,Unclear,Other,Not_Coral
MOBI,Bivalves,Bivalves,Other_Invertebrates,Not_Coral
XmasW,Christmas_Tree_Worm,Christmas_Tree_Worm,Other_Invertebrates,Not_Coral
EncBry,Encrusting_Bryozoan,Encrusting_Bryozoan,Other_Invertebrates,Not_Coral
HYDCO,Hydrocoral,Hydrocoral,Other_Invertebrates,Not_Coral
Hydra,Hydroid,Hydroid,Other_Invertebrates,Not_Coral
Mille,Millepora,Millepora,Other_Invertebrates,Not_Coral
B_Paly,Bleached_Palythoa,Palythoa,Other_Invertebrates,Not_Coral
Paly,Palythoa,Palythoa,Other_Invertebrates,Not_Coral
ANEM,Sea_anemone,Sea_anemone,Other_Invertebrates,Not_Coral
SECO,Sea_cucumber,Sea_cucumber,Other_Invertebrates,Not_Coral
EUR,Sea_urchin,Sea_urchin,Other_Invertebrates,Not_Coral
Sponge,Sponge,Sponge,Other_Invertebrates,Not_Coral
Stylas,Stylaster,Stylaster,Other_Invertebrates,Not_Coral
UnkTUN,Unknown_Tunicate,Unknown_Tunicate,Other_Invertebrates,Not_Coral
ZOAN,Zoanthid,Zoanthid,Other_Invertebrates,Not_Coral
B_Clad,Bleached_Cladiella,Cladiella,Soft_coral,Soft_Coral
Clad,Cladiella,Cladiella,Soft_coral,Soft_Coral
B_Loph,Bleached_Lobophytum,Lobophytum,Soft_coral,Soft_Coral
Loph,Lobophytum,Lobophytum,Soft_coral,Soft_Coral
B_Sarco,Bleached_Sarcophyton,Sarcophyton,Soft_coral,Soft_Coral
Sarco,Sarcophyton,Sarcophyton,Soft_coral,Soft_Coral
B_Sinu,Bleached_Sinularia,Sinularia,Soft_coral,Soft_Coral
Sinu,Sinularia,Sinularia,Soft_coral,Soft_Coral
Turf,Turf_algae,Turf_algae,Turf_Algae,Not_Coral
TURFH,Turf_algae_on_hard_substrate,Turf_algae_on_hard_substrate,Turf_Algae,Not_Coral
